SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
61.96,13.82,7.15,0.12,3.06,3.01,1.01,2.49,0.88,0.18
61.62,13.28,6.44,0.11,3.07,2.69,1.44,2.17,0.9,0.16
59.56,13.95,6.5,0.09,2.72,2.17,1.3,2.13,0.8,0.09
58.27,13.88,8.33,0.11,3.51,2.47,1.08,2.48,0.93,0.09
57.85,12.72,8.51,0.13,3.63,3.89,1.6,2.08,0.92,0.12
58.98,12.45,7.31,0.11,3.19,3.6,1.46,2.06,0.82,0.13
60.28,12.51,7.17,0.1,3.09,3.8,1.42,1.78,0.87,0.1
58.91,13.79,7.77,0.1,3.06,2.47,0.99,2.02,0.9,0.1
59.66,13.66,6.99,0.1,2.82,2.64,1.08,2.11,0.93,0.07
57.39,14.23,9.62,1.69,3.73,2.97,0.08,2.72,0.73,0.82
58.66,17.53,8.69,0.13,2.18,2.11,0.1,3.5,1.53,0.16
57.14,16.4,8.43,0.12,3.1,3.23,1.4,2.58,1.14,0.13
58.13,14.04,7.21,0.09,3.3,4.26,1.36,2.56,1.11,0.17
58.45,13.01,7.01,0.1,3.43,3.94,1.51,2.26,0.91,0.18
64.64,11.69,7.78,0.08,3.3,2.78,0.18,2.02,1.06,0.12
52.8,13.86,9.04,0.09,4.98,4.41,1.02,2.13,1.09,0.12
53.53,13.93,9.45,0.11,3.65,3.91,1.39,1.98,1.22,0.13
55.55,13.51,8.64,0.11,2.91,4.36,1.84,1.74,1.35,0.21
59.68,12.78,6.67,0.1,3.39,3.95,1.84,2.16,0.9,0.14
59.26,12.24,7.57,0.12,4.06,3.37,1.21,2.1,0.87,0.19
57.43,13.3,7.67,0.11,3.79,3.79,1.07,1.91,0.91,0.1
61.53,12.93,6.63,0.09,3.32,3.77,1.43,2.13,0.85,0.2
63.58,14.66,6.55,0.09,2.32,2.06,0.19,3,1.04,0.29
58.61,15.75,8.76,0.11,3.06,1.99,0.11,3.24,1.11,0.24
59.48,14.54,6.61,0.09,2.71,3.04,1.63,2.92,1.17,0.31
61.84,12.79,6.94,0.11,3.08,3.94,0.15,2.13,1.16,0.24
58.77,13.66,8.21,0.11,3.62,3.16,1.1,2.3,0.91,0.14
61.64,11.76,7.17,0.1,3.34,4.02,1.24,2.23,0.98,0.12
62.05,11.13,6.96,0.1,3.89,3.39,1.25,2.24,0.9,0.15
59.77,12.3,8,0.11,3.47,3.7,1.1,2.25,1.03,0.15
52.67,11.38,7.34,0.1,5,7,1.01,1.92,0.9,0.13
50.02,11.1,7.98,0.1,5.11,8.56,0.9,1.58,1.2,0.23
54.85,12.59,7.31,0.09,4.36,5.09,0.89,2.31,0.97,0.13
55.55,12.74,7.48,0.1,4.54,5.53,1.1,2.43,1.05,0.28
51.27,10.59,5.54,0.08,5.3,9.92,0.97,1.87,0.97,0.32
59.788,13.87,9.4,0.1,3.44,2.07,1.61,1.78,1.2,0.2
62.202,14.74,9.08,0.1,2.7,2.01,1.36,1.73,0.94,0.14
59.926,14.44,9.07,0.1,3.25,2.12,1.34,1.99,0.93,0.16
60.048,16.71,8.46,0.08,2.91,1.71,1.55,2.34,0.9,0.14
61.11,15.83,7.07,0.08,2.29,2.49,1.95,2.15,0.90,0.14
57.97,15.00,8.89,0.11,2.96,3.10,1.53,1.90,0.87,0.13
59.96,14.75,6.92,0.08,2.62,2.91,2.64,1.64,1.04,0.15
60.16,16.02,8.02,0.09,2.29,2.91,2.48,1.03,1.21,0.11
65.01,14.86,5.77,0.08,2.35,2.36,2.93,1.66,0.70,0.13
58.93,13.10,5.97,0.09,3.28,6.50,1.06,1.89,0.93,0.23
65.56,13.08,5.64,0.07,2.70,3.21,1.51,1.48,0.81,0.10
64.04,14.46,6.39,0.08,2.76,3.04,1.56,1.29,1.00,0.10
61.08,11.72,5.73,0.08,2.87,7.71,0.69,1.65,0.90,0.16
60.562,14.73,7.56,0.09,3.29,2.1,1.56,2.12,1.03,0.25
60.024,14.79,9.39,0.12,2.73,2.76,1.7,1.86,1.01,0.12
63.46,14.13,7.61,0.09,2.31,2.03,1.8,1.86,0.96,0.14
57.554,15.63,10.22,0.11,2.73,3.04,1.78,1.4,1.12,0.3
57.96,15.72,7.00,0.08,3.06,2.88,1.92,2.22,0.85,0.14
57.58,15.06,8.89,0.09,3.89,2.84,1.49,1.94,1.11,0.14
54.33,12.78,6.83,0.08,2.83,6.89,1.81,1.82,0.97,0.23
58.67,13.76,6.69,0.08,2.87,6.92,1.20,1.82,0.91,0.11
60.93,14.08,6.21,0.08,3.57,4.98,1.15,2.21,0.79,0.13
55.60,13.81,5.17,0.08,2.87,8.91,0.85,2.07,0.83,0.11
63.37,13.19,5.95,0.08,2.96,4.11,1.16,1.53,0.90,0.14
61.54,13.83,5.65,0.08,2.58,5.65,1.43,1.25,1.03,0.11
66.19,14.75,5.78,0.08,2.42,2.41,1.18,1.83,0.86,0.10
60.064,14.93,6.95,0.09,2.81,3.19,1.75,1.8,1.23,0.09
63.096,14.33,4.5,0.07,2.21,4.13,2.19,2.17,0.73,0.14
63.964,13.91,6.01,0.09,1.86,2.82,2.21,2.27,0.8,0.21
63.204,15.29,6.01,0.09,1.85,1.95,2.31,2.71,0.78,0.13
59.09,15.28,7.74,0.10,3.81,2.93,1.49,1.90,0.87,0.13
63.15,14.08,6.04,0.08,2.89,4.03,1.61,1.82,0.83,0.15
62.59,11.60,4.53,0.07,2.43,5.33,1.88,1.40,0.79,0.12
64.06,14.75,5.89,0.08,2.97,3.36,1.34,1.93,0.88,0.16
63.49,13.91,6.33,0.08,3.38,3.83,1.48,1.84,0.88,0.08
67.35,13.42,5.76,0.10,3.08,2.20,0.92,2.19,0.82,0.12
65.12,14.55,6.50,0.09,2.84,2.53,0.85,1.41,0.96,0.10
64.84,13.92,5.82,0.08,2.45,4.42,1.27,1.35,1.06,0.09
64.55,13.24,4.57,0.07,2.49,6.80,1.02,1.67,0.81,0.10
61.58,15.06,7.07,0.08,2.76,2.20,2.63,1.80,1.06,0.27
61.53,11.01,5.69,0.08,2.84,5.93,0.78,1.02,0.93,0.12
61.77,14.51,4.19,0.07,1.69,4.54,2.40,2.51,0.58,0.12
61.78,13.63,7.43,0.10,3.12,4.48,1.10,2.13,0.95,0.13
61.79,13.72,6.41,0.09,2.89,4.17,0.73,1.48,0.90,0.13
61.40,13.05,5.41,0.08,2.98,4.51,1.09,1.63,0.77,0.21
63.10,15.05,6.12,0.08,2.87,2.25,1.13,1.64,0.81,0.11
64.30,13.04,5.48,0.08,3.24,4.66,1.25,1.62,0.83,0.29
64.62,13.04,4.91,0.07,2.97,4.03,1.54,2.13,0.70,0.18
62.02,12.52,5.04,0.11,2.44,8.65,0.90,2.02,0.83,0.28
65.31,11.63,5.28,0.09,3.00,4.51,1.08,1.78,0.84,0.32
69.07,11.50,3.74,0.07,1.86,3.67,1.86,1.17,0.91,0.10
65.07,13.86,5.21,0.06,2.51,3.65,1.51,1.75,0.92,0.08
61.93,15.24,7.36,0.09,2.89,2.08,1.28,1.83,1.00,0.20
56.96,14.23,5.14,0.09,2.52,5.05,1.06,1.69,0.89,0.13
56.02,13.04,5.03,0.08,2.77,6.26,0.86,1.71,0.82,0.13
54.51,12.19,4.55,0.07,2.50,7.77,1.26,2.07,0.71,0.32
57.96,14.27,5.31,0.07,2.76,4.05,1.35,1.79,0.88,0.17
57.33,14.85,5.34,0.07,2.66,4.14,1.41,1.70,0.90,0.12
52.29,13.01,5.22,0.07,2.76,7.66,2.16,1.70,0.78,0.22
58.59,15.17,5.83,0.07,2.61,2.76,1.16,1.47,0.89,0.09
55.71,12.86,5.79,0.08,3.35,8.56,0.87,1.78,0.82,0.14
68.48,12.75,5.02,0.09,2.65,2.52,0.88,2.26,1.00,0.16
62.24,13.54,6.29,0.08,3.17,4.21,1.27,1.81,0.88,0.10
64.01,14.27,7.34,0.08,2.61,3.00,1.50,1.14,0.98,0.09
65.82,13.48,4.98,0.07,2.40,3.99,1.08,1.75,0.87,0.09
60.69,15.34,6.34,0.09,2.95,3.05,1.20,1.85,0.85,0.12
58.06,14.34,5.64,0.06,2.99,2.60,0.87,1.84,0.93,0.18
57.02,14.38,5.68,0.08,2.97,3.31,0.97,1.84,0.85,0.13
57.78,14.75,5.71,0.10,2.45,2.97,0.57,1.83,0.85,0.09
57.50,13.17,4.05,0.08,2.34,5.06,3.65,1.44,0.81,0.09
56.70,13.03,5.05,0.06,2.99,5.89,1.98,1.62,0.81,0.30
54.72,13.22,5.05,0.07,3.04,6.34,1.34,1.90,0.77,0.16
60.98,12.77,4.24,0.06,2.44,4.36,2.39,1.42,0.86,0.13
57.48,14.79,6.90,0.09,2.84,2.84,0.98,2.01,0.87,0.11
64.87,14.94,6.37,0.12,2.77,2.22,0.76,2.34,0.80,0.17
65.68,13.87,5.42,0.08,2.85,2.50,1.10,1.96,0.85,0.13
59.04,13.25,6.45,0.08,2.90,6.64,1.26,1.28,0.96,0.17
63.85,13.31,5.20,0.07,2.60,4.80,0.89,1.79,0.80,0.10
52.45,12.84,4.97,0.07,2.85,8.12,1.21,1.80,0.79,0.27
58.43,14.58,5.84,0.09,2.72,2.59,0.76,1.91,0.88,0.11
57.10,14.09,5.68,0.08,2.93,3.49,0.53,1.70,0.84,0.11
57.58,13.57,5.30,0.07,2.80,4.23,0.64,1.75,0.82,0.11
58.77,13.63,5.34,0.09,2.54,3.66,0.61,1.67,0.84,0.10
48.27,12.96,5.03,0.07,3.05,7.82,4.52,1.44,0.85,0.35
59.69,12.00,3.50,0.05,1.87,8.04,2.49,1.33,0.77,0.10
54.69,12.18,4.78,0.07,2.65,7.59,1.55,1.85,0.71,0.29
59.05,14.2,6.54,0.1,3.27,2.96,1.25,1.67,0.95,0.07
57.66,15.12,5.92,0.11,2.93,4,0.7,2.26,0.79,0.07
52.07,12.13,5.42,0.07,3.63,7.51,1.9,1.48,0.8,0.14
53.97,11.85,4.88,0.08,3.2,7.61,1.61,1.76,0.79,0.07
60.46,12.12,4.26,0.07,2.61,5.06,1.4,1.66,0.77,0.07
59.88,11.67,3.81,0.06,2.3,3.04,7.4,1.71,0.83,0.08
56.73,11.68,3.54,0.06,2.91,4.78,7.9,1.52,0.72,0.13
60.49,12.72,3.87,0.07,2.44,4.15,4.73,2.09,0.72,0.09
48.1,11.45,8.56,0.21,4.89,8.58,1.09,2.11,0.66,0.55
58.28,13.08,5.45,0.1,2.83,4.8,1.01,2.07,0.81,0.15
61.48,12.15,4.13,0.07,2.42,5.26,1.39,1.68,0.78,0.12
64.94,14.32,5.44,0.1,2.39,1.78,0.66,1.7,0.89,0.06
54.21,12.43,5.96,0.08,3.27,5.89,4.42,1.74,0.87,0.11
58.05,12.65,4.98,0.07,3.79,3.91,5.47,2.26,0.75,0.13
58.62,13.92,5.11,0.12,2.81,2.95,5.99,2.46,1.03,0.13
57.88,13.14,5.8,0.09,3.51,3.17,2.18,1.35,0.99,0.08
56.45,12.92,6.4,0.08,3.68,4.83,2.89,1.21,0.91,0.08
48.92,11.13,4.4,0.07,4.07,10.58,1.95,1.37,0.72,0.06
67.08,14.33,4.92,0.08,2.29,2.24,2.45,1.89,0.83,0.10
58.8,11.51,3.76,0.06,2.38,4.89,3.12,1.75,0.73,0.09
59.27,11.42,4.98,0.07,2.88,4.85,1.85,2.77,0.75,0.37
53.17,11.7,6.2,0.1,3.31,6.6,1.91,2.64,0.68,0.4
51.45,12.45,5.55,0.1,2.92,7.78,2.71,1.71,0.68,0.14
