SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
60.57,17.05,6.52,0.22,2.22,1.6,1.91,2.67,0.99,0.11
53.06,15.53,7.05,0.09,2.88,6.34,2.61,1.94,1.24,0.37
59.53,14.74,5.79,0.08,3.04,4.17,2.38,2.78,1.32,0.67
57.37,14.53,7.67,0.11,3.33,4.2,1.74,2.36,1.24,0.5
65.77,15.2,3.89,0.06,1.2,1.64,2.9,2.66,1.05,0.1
54.72,15.72,7.59,0.08,4.48,5.57,2.06,1.22,0.93,0.08
54.86,16.01,6.87,0.08,2.89,3.83,2.29,2.77,1.05,0.14
81.4,8.04,3.44,0.06,0.71,0.53,0.75,2.23,1.35,0.09
70.7,12.84,4.6,0.05,1.44,1.07,1.07,2.84,0.97,0.19
76.46,9.85,4.5,0.05,1.16,0.91,0.74,2.32,1.53,0.11
67.12,10.85,3.52,0.04,1.42,5.29,0.84,2.44,0.54,0.08
65.37,14.54,5.25,0.06,1.96,2.16,1.24,2.95,0.81,0.1
59.04,15.78,7.56,0.1,2.04,2.75,2.76,2.77,1.51,0.38
61.8,14.07,6.82,0.09,1.91,3.85,3.12,2.4,1.56,0.59
58.55,15.69,6.3,0.08,2.91,4.35,2.61,2.5,1.32,0.73
58.15,16.54,6.33,0.09,2.04,3.26,2.44,2.95,1.32,0.25
68.79,14.17,4.2,0.07,1.31,1.02,2.19,3.5,0.68,0.08
58.02,14.27,9.08,0.14,3.43,2.95,1.11,1.68,1.61,0.09
71.19,11.15,4.73,0.06,1.54,1.68,1.3,2.55,0.85,0.15
70.86,11.78,4.51,0.06,1.47,2.71,1.36,2.12,1,0.11
69.42,12.24,4.42,0.06,1.43,1.72,1.24,2.24,0.92,0.1
64.95,12.27,4.3,0.05,1.81,3.61,1.12,2.43,0.76,0.13
64.88,13.14,4.48,0.08,1.49,3.4,4.86,1.86,1.2,0.46
62.47,13.59,5.55,0.08,1.84,3.88,3.73,2.06,1.3,0.66
63.76,12.63,6.01,0.09,1.67,3.67,3.32,2.2,1.64,0.62
61.7,14.56,5.06,0.08,1.46,2.99,3.29,3.35,1.18,0.4
62.2,15.01,5.48,0.08,1.77,1.98,2.12,3.1,0.95,0.12
61.14,13.01,6.96,0.09,4.03,2.34,1.05,2.58,0.9,0.13
58.92,10.07,6.97,0.1,5.51,5.01,0.9,1.41,1.29,0.13
63.38,15.52,5.16,0.05,1.84,2.08,1.74,3.27,0.81,0.12
69.91,13.37,3.83,0.04,1.13,1.09,1.05,2.91,1.08,0.09
65.64,11.88,4.43,0.05,1.45,4.98,0.86,2.23,0.8,0.09
68.97,10.99,4.25,0.06,1.55,3,1.38,2.2,0.89,0.1
62.95,14.09,6.17,0.1,2.88,2.01,1.36,2.92,1.02,0.15
59.56,13.54,6.4,0.1,2.15,4.7,3.46,1.7,1.53,0.84
55.83,12.71,7.92,0.1,2.81,6.01,1.76,1.6,1.66,0.81
59.87,13.78,6.49,0.09,1.81,4.34,3.05,2.51,1.5,0.79
61.75,13.72,5.88,0.08,2.42,3.48,2.54,2.77,1.07,0.28
65.01,14.03,5.1,0.08,1.84,1.91,2.6,2.85,0.87,0.1
61.64,14.03,7.17,0.08,4.94,2.65,1.05,2.32,0.91,0.12
58.63,12.91,6.2,0.09,4.15,4.2,0.87,2.13,0.78,0.23
50.77,15.04,5.25,0.06,3.09,7.61,0.81,4.17,0.85,0.11
58.38,17.64,6.09,0.07,2.67,1.04,1.23,4.65,0.75,0.07
60.28,15.93,5.77,0.09,2.29,2.69,2.18,3.05,0.99,0.20
56.22,18.58,7.33,0.10,2.27,1.99,1.54,3.24,0.81,0.07
57.93,17.83,7.31,0.15,2.35,1.19,1.44,3.80,0.72,0.10
59.70,15.06,6.00,0.07,3.59,2.68,0.92,2.67,0.94,0.08
57.21,17.03,6.88,0.09,2.84,3.12,2.49,1.74,1.08,0.10
55.65,15.03,7.99,0.11,4.29,3.76,1.53,1.76,1.16,0.11
58.83,16.05,7.04,0.08,2.86,2.52,0.93,2.40,1.04,0.11
57.42,18.02,6.64,0.07,1.81,1.08,0.69,2.74,0.91,0.09
57.42,19.43,7.47,0.06,2.32,0.73,0.69,2.88,0.88,0.10
56.56,16.85,7.08,0.07,4.86,1.68,0.77,2.25,1.04,0.07
59.18,14.13,7.58,0.09,3.54,2.21,0.37,3.02,1.00,0.10
60.02,14.65,4.74,0.05,2.59,0.82,1.38,3.85,0.88,0.13
53.44,16.04,6.99,0.07,4.37,3.17,1.39,3.52,1.01,0.10
61.07,14.89,6.88,0.12,2.54,2.58,0.81,2.46,1.06,0.08
56.95,18.06,7.41,0.10,2.90,1.87,1.21,3.59,0.97,0.19
56.05,19.10,5.78,0.08,2.11,0.79,2.05,4.28,0.72,0.08
52.02,17.84,8.82,0.09,3.20,2.59,1.59,2.42,0.99,0.09
55.93,14.63,8.46,0.13,3.43,3.43,0.70,1.96,0.97,0.12
61.56,15.44,6.34,0.07,2.10,1.38,0.89,2.36,0.99,0.15
60.73,16.54,5.79,0.07,2.01,1.20,0.75,2.47,0.88,0.09
57.62,15.70,7.22,0.09,2.68,1.64,0.80,2.14,1.08,0.13
57.59,14.07,7.81,0.12,4.04,2.32,0.70,2.00,0.92,0.14
58.23,15.28,7.80,0.10,2.79,2.01,0.93,1.61,0.96,0.09
57.39,16.69,5.38,0.08,3.93,1.83,1.56,3.63,0.76,0.08
51.24,14.36,5.53,0.08,2.68,8.73,1.58,2.04,1.02,0.08
49.08,18.89,9.71,0.13,3.32,2.09,0.83,2.50,0.88,0.11
47.69,15.44,7.68,0.11,4.42,6.46,1.19,1.87,1.09,0.11
58.01,14.29,5.41,0.08,2.90,3.73,0.87,1.85,0.92,0.12
55.89,18.69,6.27,0.07,2.07,1.87,0.77,2.35,0.83,0.09
59.05,16.22,5.86,0.07,2.56,2.07,0.77,2.82,0.88,0.09
53.91,15.20,10.98,0.12,3.60,1.92,1.06,1.21,1.39,0.09
57.83,11.10,9.70,0.14,4.26,3.03,1.74,1.35,1.48,0.17
61.91,16.76,6.05,0.07,2.61,1.81,2.77,2.01,1.06,0.08
56.78,16.69,6.40,0.15,2.47,2.88,1.51,2.87,0.83,0.09
55.50,13.23,7.22,0.21,3.14,6.63,0.98,2.08,0.76,0.16
54.30,16.70,8.95,0.14,3.37,3.01,1.40,2.05,0.95,0.16
57.04,13.52,6.76,0.09,3.51,3.43,1.38,2.06,1.12,0.14
52.79,15.81,8.36,0.12,4.53,2.60,0.83,2.20,0.99,0.15
63.13,15.45,5.15,0.07,1.92,1.42,1.03,2.25,0.90,0.11
68.91,14.10,4.46,0.06,1.63,1.12,1.08,2.01,0.91,0.09
64.45,15.13,5.07,0.08,1.77,1.97,1.10,2.38,0.99,0.07
59.42,15.01,7.62,0.09,3.38,1.60,0.87,2.50,1.10,0.11
57.55,14.21,9.61,0.14,3.26,1.96,1.11,1.26,1.23,0.10
61.68,13.55,8.21,0.14,3.43,1.31,1.64,1.62,1.12,0.09
56.88,16.35,7.81,0.10,2.94,2.21,1.53,2.71,1.60,0.17
58.08,17.04,6.62,0.13,2.08,2.28,1.85,2.83,1.02,0.10
54.26,15.30,8.41,0.13,4.02,3.01,1.29,1.70,1.18,0.13
56.67,15.17,8.01,0.11,3.00,2.94,1.05,1.66,1.19,0.09
53.08,15.68,9.35,0.15,3.68,2.39,1.31,1.39,1.12,0.08
58.37,15.22,6.79,0.09,3.16,1.79,1.03,2.64,0.90,0.14
68.08,15.38,4.69,0.06,1.40,0.54,1.18,2.00,0.90,0.07
67.37,15.26,5.03,0.07,1.40,0.54,1.00,2.05,1.05,0.05
56.73,15.19,9.47,0.17,2.92,2.01,1.10,0.97,1.05,0.08
50.94,13.35,13.38,0.15,4.38,2.91,1.48,0.99,1.35,0.15
58.60,17.54,6.89,0.10,2.36,1.18,1.31,3.09,1.00,0.06
64.44,15.66,4.98,0.13,1.71,1.01,1.94,2.89,0.68,0.14
65.65,14.24,5.12,0.09,2.17,1.99,2.08,1.96,0.97,0.13
56.78,14.66,7.28,0.13,5.04,2.68,0.98,1.89,0.96,0.16
54.33,14.89,8.15,0.11,4.46,4.15,1.96,1.04,1.24,0.10
54.74,13.89,7.75,0.16,4.87,3.82,1.00,2.11,0.91,0.17
60.55,17.82,6.83,0.07,1.52,0.76,1.14,2.98,0.94,0.07
70.68,12.39,5.02,0.07,1.30,0.57,0.80,1.87,1.34,0.05
58.07,16.08,9.24,0.11,2.24,0.97,1.13,2.67,1.30,0.09
60.35,14.93,9.40,0.15,2.04,1.94,1.12,1.05,1.26,0.14
66.73,12.12,6.21,0.11,1.94,1.46,1.34,1.81,1.07,0.14
62.98,15.22,5.85,0.09,2.04,1.63,2.27,2.62,1.20,0.12
63.66,14.69,5.28,0.09,2.12,1.71,2.28,3.43,1.36,0.35
62.66,16.45,4.76,0.15,1.48,1.55,2.12,3.40,0.67,0.09
63.21,16.49,5.20,0.08,1.93,1.33,1.45,3.67,0.87,0.08
59.04,15.47,7.74,0.10,3.21,2.56,1.14,2.04,1.14,0.11
61.08,13.70,6.50,0.08,3.85,3.24,1.35,1.90,1.03,0.08
58.50,13.97,7.87,0.16,4.71,2.29,0.93,1.87,1.15,0.18
50.48,15.52,6.86,0.08,3.39,5.79,0.96,2.40,0.95,0.12
55.32,18.53,6.70,0.10,1.93,2.33,1.24,2.82,0.96,0.10
63.04,14.37,6.27,0.11,2.65,1.03,0.70,2.59,0.94,0.07
58.28,15.07,9.55,0.10,2.60,0.73,0.73,2.97,1.38,0.08
58.51,14.05,9.53,0.18,2.69,1.54,0.55,2.07,1.04,0.12
62.16,15.59,7.18,0.10,1.66,2.12,2.45,1.91,0.96,0.08
61.47,15.23,7.00,0.11,1.96,2.53,2.46,2.71,1.32,0.17
61.02,17.39,5.78,0.09,1.95,1.49,3.39,2.97,0.59,0.08
61.51,17.32,6.60,0.07,2.34,1.75,1.80,2.95,0.88,0.07
60.01,15.95,5.43,0.09,2.94,2.58,1.62,3.39,0.79,0.19
61.81,14.36,6.59,0.06,2.90,2.69,1.56,2.28,0.94,0.07
55.07,14.24,9.32,0.19,6.46,2.94,0.86,1.50,1.23,0.18
58.13,16.93,9.15,0.11,2.03,2.59,1.15,1.81,1.76,0.13
62.05,18.26,7.27,0.07,1.74,1.17,1.33,2.62,1.23,0.09
60.61,14.75,9.01,0.15,2.60,0.96,0.89,2.36,1.23,0.09
55.84,15.79,10.39,0.19,2.83,1.72,0.62,2.34,1.32,0.13
64.65,13.71,7.52,0.19,2.25,1.06,0.51,2.53,1.06,0.11
60.57,14.93,7.78,0.11,2.17,2.39,1.30,1.80,1.11,0.12
60.21,14.85,6.99,0.09,2.58,2.48,2.10,2.66,1.41,0.19
62.96,15.63,6.72,0.09,1.42,1.85,2.30,2.09,0.99,0.07
60.31,14.63,7.88,0.11,2.58,2.82,2.29,1.73,1.02,0.18
56.54,18.00,7.22,0.08,2.83,2.01,1.73,2.98,1.30,0.07
53.54,17.65,8.39,0.08,4.13,3.15,1.23,1.90,1.00,0.07
54.17,14.89,8.87,0.10,5.32,3.96,1.16,2.33,1.13,0.31
60.80,18.33,6.99,0.07,2.25,1.05,1.12,3.04,0.92,0.09
58.08,16.90,7.07,0.15,3.93,2.22,0.86,2.40,0.93,0.15
61.74,16.05,8.33,0.11,2.33,1.95,1.10,1.60,1.62,0.08
56.29,14.22,8.93,0.14,3.48,3.83,0.89,1.32,1.53,0.15
50.50,13.70,10.69,0.14,2.67,6.08,1.10,0.91,1.87,0.14
56.67,13.43,9.67,0.14,3.69,3.66,1.26,1.53,1.94,0.24
61.78,16.15,6.43,0.08,1.65,2.29,2.80,2.53,1.04,0.16
65.40,14.83,4.77,0.07,1.15,2.02,2.42,1.83,0.75,0.07
64.79,12.19,7.75,0.09,2.59,2.07,1.91,0.80,1.29,0.39
58.17,14.76,8.19,0.08,3.18,2.99,1.19,2.27,0.91,0.09
54.79,14.86,9.72,0.13,4.48,3.44,1.05,1.52,1.70,0.10
56.39,17.23,7.90,0.08,2.60,2.03,1.19,2.41,1.34,0.25
56.46,17.15,7.32,0.11,2.88,1.34,1.11,2.66,1.12,0.11
58.37,16.65,5.51,0.08,2.44,2.66,1.25,2.50,0.92,0.11
64.49,16.05,5.81,0.09,1.45,0.83,1.40,2.32,1.21,0.06
64.02,13.50,7.13,0.20,2.78,1.29,1.13,1.37,1.16,0.07
54.54,13.83,10.89,0.13,3.58,3.48,1.06,1.25,1.19,0.12
65.53,14.25,8.00,0.09,3.45,2.86,1.16,1.82,1.05,0.24
59.58,15.49,6.23,0.10,1.81,3.18,2.14,2.01,1.12,0.23
63.54,13.67,6.59,0.10,1.39,3.10,2.12,1.75,1.54,0.19
62.67,13.82,6.78,0.10,1.56,3.11,2.03,1.20,1.30,0.10
62.55,14.52,6.87,0.09,1.54,2.57,2.24,1.27,1.37,0.09
51.65,15.82,12.70,0.13,3.09,3.52,1.26,1.20,1.64,0.09
58.29,14.09,7.05,0.16,6.65,1.95,0.79,1.83,0.96,0.13
62.44,16.29,7.26,0.13,1.58,1.27,1.16,2.59,1.02,0.07
63.33,13.04,6.00,0.13,3.23,1.69,0.74,2.14,1.00,0.12
58.41,16.98,6.34,0.09,2.36,0.96,1.29,2.44,1.04,0.08
63.13,13.21,7.12,0.11,2.45,2.03,1.01,1.34,1.18,0.08
68.29,12.12,6.02,0.10,2.13,1.32,0.72,1.52,1.05,0.07
63.93,12.35,8.19,0.13,2.92,2.11,1.32,1.52,1.04,0.11
61.87,15.30,6.34,0.09,1.72,2.57,1.95,1.61,1.01,0.09
60.83,16.89,6.34,0.10,1.30,2.73,2.52,1.64,0.85,0.06
61.99,14.26,7.19,0.10,1.63,3.46,2.12,1.38,1.17,0.09
62.38,15.43,6.47,0.07,1.83,1.64,3.39,0.76,0.97,0.07
63.48,15.24,5.30,0.08,1.28,2.58,2.91,1.64,0.83,0.08
56.87,13.80,7.90,0.14,5.85,2.99,0.60,1.63,1.13,0.12
62.13,15.04,6.04,0.08,2.80,1.19,0.94,2.36,1.28,0.10
55.62,17.09,6.87,0.08,2.07,3.40,0.95,2.75,1.08,0.08
58.54,12.13,10.30,0.13,3.45,1.28,0.67,1.59,1.42,0.07
59.74,12.39,7.07,0.10,3.37,3.91,0.66,1.93,1.18,0.08
67.81,10.91,5.92,0.07,2.04,1.83,0.69,1.60,0.75,0.17
61.22,12.37,7.84,0.13,2.58,3.82,0.79,1.40,1.07,0.07
61.39,16.23,6.05,0.09,1.48,2.60,2.19,2.18,0.95,0.08
62.59,14.84,6.44,0.09,1.64,3.53,2.39,1.43,1.02,0.09
65.10,13.74,5.40,0.08,1.75,2.23,2.11,1.31,0.88,0.09
62.06,15.19,6.95,0.10,2.03,2.00,2.25,1.41,1.10,0.10
60.88,16.00,6.93,0.11,1.74,3.29,2.03,1.91,1.15,0.09
62.91,15.45,6.65,0.09,3.58,1.25,0.82,2.38,0.96,0.11
59.53,14.08,9.37,0.27,3.32,1.23,0.53,2.44,1.04,0.10
60.34,14.07,7.75,0.15,3.01,2.37,0.78,2.69,1.13,0.18
59.08,14.04,8.05,0.11,3.52,1.91,0.84,1.36,1.27,0.08
57.07,13.16,6.22,0.10,2.22,5.93,0.87,2.00,1.07,0.10
62.72,13.88,7.47,0.15,3.35,1.80,0.73,1.79,1.11,0.10
72.87,10.15,4.74,0.06,1.99,1.07,0.69,1.52,0.82,0.06
59.92,14.09,6.23,0.10,2.36,3.67,1.38,1.76,0.96,0.12
58.06,13.01,5.58,0.09,1.79,6.43,1.25,1.49,0.91,0.08
58.59,16.17,7.59,0.12,1.81,2.80,1.48,1.85,1.06,0.21
56.54,18.59,7.73,0.11,2.22,0.92,0.91,3.13,1.01,0.11
57.09,14.37,9.76,0.25,3.63,1.82,0.76,1.80,1.53,0.13
57.45,14.55,8.22,0.18,3.86,1.16,0.47,2.00,0.94,0.11
56.86,14.46,7.60,0.17,3.52,1.80,0.52,1.65,0.98,0.14
67.29,14.38,7.41,0.23,1.67,0.78,0.72,2.23,1.07,0.08
56.42,14.15,7.70,0.09,3.78,4.42,0.54,1.92,0.86,0.12
67.79,12.92,5.52,0.09,1.73,1.62,1.09,1.91,0.86,0.08
58.15,16.59,7.02,0.12,1.62,2.44,1.97,2.08,0.87,0.11
59.86,15.99,6.07,0.08,2.8,1.6,1.28,3.55,0.92,0.06
55.69,15.23,6.57,0.08,3.46,4.08,0.7,3.15,0.91,0.11
63.88,12.55,4.78,0.08,2.69,2.89,1.15,2.14,0.86,0.1
62.57,11.71,4.82,0.074,2.16,2.74,0.73,2.39,0.78,0.1
62.5,11.46,5.05,0.075,2.26,4.09,0.76,2.03,0.78,0.09
62.7,12.35,4.98,0.075,2.47,2.55,0.82,2.18,0.76,0.1
68.28,10.17,3.69,0.074,1.67,1.92,1.34,1.87,0.81,0.1
68.32,10.45,4.37,0.049,1.2,2.22,0.63,1.83,0.88,0.07
59.65,9.96,4.98,0.08,2.43,7.92,1.25,1.62,0.69,0.08
59.41,11.69,4.93,0.06,2.74,5.93,0.95,1.88,0.78,0.1
60.05,12.88,5.58,0.079,2.9,3.74,1.4,1.99,0.97,0.11
61.32,12.28,5.36,0.071,2.71,4.41,1.09,2.04,0.83,0.12
58.64,10.86,4.91,0.058,2.74,7.84,0.98,1.47,0.84,0.09
59.25,14.93,6.31,0.09,2.73,2.76,1.43,3.15,0.99,0.08
59.24,14.27,5.73,0.08,2.89,3.95,0.83,2.84,0.85,0.09
58,15.07,7.33,0.1,3.51,2.19,0.72,2.59,1.09,0.08
56.75,15.17,6.84,0.079,2.86,1.64,0.61,3.21,0.93,0.07
58.47,13.92,6.2,0.083,2.62,2.43,0.77,2.87,0.84,0.09
58.32,13.1,5.6,0.075,2.78,3.57,0.98,2.77,0.73,0.12
62.63,11.32,4.52,0.072,2.11,3.1,0.95,2.28,0.77,0.13
63.13,11.17,4.65,0.064,1.89,3.61,1.16,2.26,0.88,0.14
60.79,11.7,5.17,0.08,2.64,3.52,1.2,2.41,0.89,0.14
62.11,11.71,4.78,0.078,2.43,2.97,1.28,2.49,0.81,0.14
62.48,11.19,4.48,0.078,2.11,2.43,1.298,2.38,0.86,0.14
64.54,10.82,3.89,0.068,2.02,2.38,1.48,2.31,0.77,0.11
63.4,10.73,4.28,0.069,2.52,3.63,1.25,2.27,0.73,0.15
59.11,11.86,5.11,0.082,2.76,4.13,1.23,2.53,0.87,0.18
60.97,13.61,5.19,0.08,2.9,2.85,1.27,2.85,0.84,0.13
58.84,12.33,6.16,0.11,3.37,5.48,1.24,2.25,1.09,0.16
60.25,11.74,5.03,0.077,2.54,4.97,1.22,2.56,0.79,0.12
59.93,12.26,5.05,0.079,2.35,3.17,1.28,2.64,0.81,0.17
61.47,11.9,4.7,0.079,2.16,2.07,1.23,2.55,0.77,0.15
61.73,11.88,4.86,0.083,2.31,3.14,1.3,2.47,0.84,0.18
59.05,12.77,5.36,0.082,2.88,3.57,1.01,2.83,0.81,0.2
59.02,11.82,4.94,0.082,2.8,3.85,1.3,2.56,0.84,0.22
61.19,11.66,4.89,0.085,2.37,2.75,1.24,2.44,0.81,0.23
63.04,11.69,4.46,0.072,2.19,2.33,1.45,2.44,0.82,0.11
63.57,12.16,4.66,0.076,2.14,3.81,2.09,2.02,0.89,0.09
62.28,12.25,5,0.081,2.47,2.39,1.61,2.11,0.88,0.11
63.25,12.72,5.62,0.09,2.72,2.59,1.83,2.35,0.93,0.1
60.88,11.51,4.97,0.082,2.6,3.58,1.33,2.33,0.81,0.2
59.82,12.26,5.36,0.089,2.77,4.12,1.26,2.61,0.86,0.22
59.79,11.85,5.02,0.08,2.73,3.89,1.3,2.54,0.85,0.19
64.28,10.91,3.89,0.068,1.82,2.23,1.47,2.24,0.71,0.13
61.75,11.28,4.88,0.082,2.44,4.53,1.37,2.33,0.89,0.22
60.04,13.06,5.69,0.083,2.32,4.43,0.83,2.45,0.79,0.08
60.58,10.01,5.24,0.125,1.86,6.6,1.1,1.68,1.15,0.09
61.2,14.26,5.92,0.093,2.12,2.93,0.81,2.68,0.85,0.08
62.51,12.09,5.05,0.078,2.34,3.1,0.93,2.26,0.79,0.1
62.14,11.56,4.65,0.08,2.39,2.71,1.21,2.28,0.82,0.14
57.96,11.89,5.73,0.075,2.92,4.21,1.96,1.26,1.26,0.08
56.46,13.14,4.54,0.05,2.59,3.89,1.76,1.8,0.91,0.09
58.65,12.76,6.78,0.1,4.33,3.75,1.38,2.12,0.91,0.12
64.24,13.13,6,0.1,2.84,3.28,1.56,2.13,0.89,0.08
62.44,13.66,6.49,0.1,3.07,3.55,1.25,2.23,1.05,0.1
65.26,11.5,4.84,0.082,1.97,3.63,1.44,2.12,0.84,0.1
60.18,10.17,4.46,0.081,1.92,7.16,1.49,1.78,0.84,0.1
61.57,11.46,4.75,0.078,1.83,4.92,0.96,2.06,0.81,0.07
62.25,13.67,5.63,0.089,2.28,2.11,0.89,2.62,0.82,0.09
59.57,13.52,5.47,0.08,2.32,2.49,0.83,2.65,0.82,0.09
57.2,13.74,5.63,0.067,2.44,5.79,1.19,2.75,0.75,0.09
63.45,13.78,5.08,0.081,1.82,1.82,1.46,2.28,0.85,0.08
59.74,11.63,5.85,0.109,2.1,4.74,1.49,1.89,1.03,0.11
61.99,11.71,7.27,0.127,2.21,3.36,0.83,2.04,1.24,0.07
65.27,12.58,5.54,0.118,1.86,1.46,0.72,1.99,0.92,0.06
58.66,12.12,7.59,0.13,4.53,5.72,1.88,1.68,1.1,0.11
61.59,14.08,6.5,0.11,3.22,2.8,1.5,2.59,1.04,0.12
58.87,14.93,6.42,0.09,3.41,3.03,0.92,2.56,0.94,0.11
60.71,10.19,4.14,0.068,2.16,5.95,1.42,1.64,0.78,0.09
61.04,11.25,5,0.085,2.27,5.11,1.06,2.04,0.84,0.09
59.83,13.9,6.34,0.092,2.59,2.09,0.59,2.56,0.86,0.09
58.18,15.85,6.88,0.082,2.75,1.44,0.74,3.12,0.86,0.07
59.83,14.16,5.95,0.077,2.41,2.67,1.06,2.98,0.77,0.11
62.96,12.08,5.46,0.11,2.09,3.87,1.16,2.45,0.92,0.12
65.67,11.3,4.71,0.087,1.82,2.93,1.29,2.02,0.84,0.1
61.35,12.08,4.93,0.084,1.85,5.36,2.32,2.01,0.87,0.09
61.2,11.47,7.02,0.113,2,3.1,0.73,2.25,1.05,0.07
64.65,10.5,5.37,0.092,1.87,2.16,0.45,2.77,0.73,0.04
56.29,13.19,8.04,0.12,4.68,4.4,1.29,2.02,1.03,0.15
59.97,13.32,5.99,0.1,3.42,3.92,1.54,2.19,0.88,0.17
61.87,12.36,5.82,0.11,3.28,4.45,1.41,1.89,1.07,0.11
59.25,11.27,5.36,0.078,2.46,6.79,1.31,2.05,0.76,0.09
63.3,11.02,4.75,0.075,2.08,4.82,1.31,1.92,0.82,0.09
59.5,12.92,6.01,0.091,2.77,4.48,1.26,2.11,0.83,0.08
60.83,13.57,5.67,0.087,2.65,2.72,1.9,2.76,0.82,0.1
60.1,9.98,4.18,0.082,1.88,7.02,1.48,1.68,0.77,0.1
68.44,10.68,4.33,0.082,1.45,3.4,1.67,1.81,0.8,0.09
65.02,12.19,5.12,0.085,1.87,2.44,1.29,2.05,0.91,0.09
64.68,11.72,4.98,0.087,1.84,3.12,1.44,2.01,0.85,0.1
61.68,12.21,5.44,0.087,2.14,2.97,1.12,2.34,0.89,0.09
57.48,12.2,6.74,0.091,3.17,2.83,0.71,2.58,0.9,0.08
58.01,13.55,7.09,0.12,3.01,3.96,1.83,1.98,1.05,0.12
61.37,13.52,5.98,0.1,2.91,3.08,1.79,2.21,0.98,0.1
56.12,12.81,7.55,0.12,4.54,5.63,1.37,1.93,1.03,0.09
57.45,11.47,6.09,0.098,2.88,7.84,1.64,1.84,0.99,0.08
60.98,12.7,5.39,0.075,2.32,4.44,1.36,2.23,0.84,0.08
59.84,14.44,6.37,0.084,2.58,1.64,0.76,2.85,0.85,0.08
62.24,13.62,5.79,0.94,2.26,1.68,0.91,2.46,0.86,0.09
65.04,10.04,4.11,0.087,1.67,4.21,1.53,1.72,0.77,0.08
62.49,14.13,5.85,0.088,1.96,1.45,0.85,2.54,0.8,0.08
63.12,11.91,4.59,0.077,1.79,2.19,0.97,2.07,0.89,0.08
58.84,14.13,5.7,0.076,2.44,2.98,1.09,2.73,0.76,0.18
58.79,11.64,5.11,0.091,1.9,6.62,1.28,1.88,1.15,0.09
62.31,11.6,7.69,0.131,1.92,1.91,0.73,1.64,1.81,0.06
53.13,12.41,6.07,0.11,4.06,7.32,1.12,2.04,0.95,0.12
56.08,13.81,7.15,0.1,3.95,4.12,1.04,2.15,1.05,0.1
58.7,13.69,6.1,0.09,3.1,3.56,0.74,2.21,0.98,0.11
60.33,13.53,6.43,0.09,2.23,2.89,1.09,2.08,1.25,0.14
60.13,13.91,6.17,0.079,2.37,2.09,0.89,2.44,0.97,0.09
58.66,13.93,6.62,0.094,2.49,3.23,1.29,2.4,1.17,0.14
59.2,13.98,6.03,0.082,2.37,3.03,1.09,2.58,0.88,0.09
60.35,14.02,5.97,0.092,2.32,2.72,1.51,2.56,0.94,0.13
62.39,13.68,5.84,0.086,2.02,1.78,0.9,2.43,0.89,0.09
64.54,11.01,5.15,0.09,1.81,3.98,1.48,1.87,0.94,0.13
62.64,11.61,5.09,0.079,1.94,4.71,1.55,2.09,0.89,0.1
57.49,15.75,6.59,0.077,2.86,3.09,1.09,2.75,0.85,0.1
57.78,14.37,6.24,0.097,2.33,4.46,1.33,2.08,1.27,0.09
57.94,12.86,6.59,0.097,3.06,3.66,1.38,2.01,0.88,0.09
59.2,12.64,5.96,0.89,2.74,3.38,1.5,2.2,0.91,0.11
58.22,12.67,6.89,0.108,2.47,3.88,1.17,2.13,1.46,0.21
63.24,11.89,5.13,0.084,2.04,2.53,1.28,2.17,0.95,0.14
65.64,11.46,4.62,0.074,1.67,2.19,1.34,1.96,0.9,0.08
65.22,12.09,5.06,0.083,1.86,2.2,1.31,2.1,0.92,0.1
63.23,11.9,4.92,0.075,2.18,2.44,1.47,2.17,0.8,0.14
62.13,10.91,4.5,0.072,2.04,2.98,1.37,2.01,0.83,0.19
63.36,12.68,5.4,0.074,2.04,2.31,1.24,2.12,0.88,0.11
61.76,10.96,4.64,0.073,1.85,4.32,1.46,1.77,0.97,0.1
56.62,10.03,5.53,0.1,1.97,7.71,1.94,1.49,1.33,0.09
60.46,14.28,5.59,0.079,2.16,1.87,0.87,2.62,0.88,0.09
59.56,14.46,5,0.062,2.11,2.08,1.06,3.14,0.64,0.1
60.24,12.01,5.57,0.083,2.38,3.55,1.34,2.21,0.94,0.12
60.74,12.64,6.27,0.1,2.26,3.04,1.47,2.15,1.18,0.15
58.48,13.97,5.53,0.076,2.17,2.82,1.53,2.43,1.02,0.11
63.49,12.11,4.5,0.074,1.67,3.27,1.55,2.14,0.84,0.1
61.04,13.66,6.06,0.089,2.14,3.23,1.35,2.19,0.92,0.1
63.1,11.84,4.55,0.073,1.94,2.55,1.68,2.06,0.83,0.09
64.6,11.55,4.77,0.077,1.79,2.41,1.59,2.09,0.84,0.1
59.78,11.58,4.57,0.072,2.3,6.28,2.85,1.85,0.93,0.14
63.38,10.83,4.36,0.073,1.75,4.63,1.6,1.8,0.86,0.12
64.88,11.8,4.5,0.089,1.64,1.86,1.21,2.12,0.82,0.1
64.85,12.55,5.17,0.088,1.7,1.73,0.96,2.19,0.91,0.08
60.61,13.07,5.26,0.072,2.05,2.34,0.89,2.5,0.82,0.1
61.2,13.67,4.99,0.084,1.95,1.6,0.98,2.96,0.72,0.1
60.71,12.46,6.52,0.091,2.36,3.28,1.47,2.17,1.11,0.17
