SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
67.18,11.08,6.94,0.1,3.68,2.33,0.16,1.81,0.85,0.13,307,20,13,110,15,24,83,18,110,158,54,611,30,217,32,66,2.23,1.33,3.55,51.76,94.76,11.1,44.63,8.98,2.01,8.21,1.61,9.68,1.93,6.24,1.05,6.84,1.08,22.76,0.5
62.89,11.64,8.04,0.1,3.64,3.28,0.12,1.65,0.97,0.2,296,17,16,118,23,20,77,23,91,142,45,305,18,169,43,95,1.78,1.23,2.38,74.83,135.11,15.96,63.5,12.24,2.22,10.66,1.8,9.38,1.72,4.89,0.72,4.39,0.66,10.65,0.5
60.49,13.74,8.64,0.1,3.93,2.59,0.07,2.02,1.08,0.12,302,25,19,126,28,19,113,23,105,115,61,566,23,258,49,85,1.81,1.36,2.54,128.98,213.31,27.39,106.93,19.55,3.19,17.04,2.81,14.38,2.48,6.99,1,6.02,0.93,18.05,0.5
46.24,10.39,7.64,0.1,8.22,9.8,0.05,1.29,0.66,0.17,325,11,19,84,12,20,48,17,62,109,20,250,11,101,32,80,0.88,0.77,0.5,14.96,29.21,3.31,15.62,2.75,0.69,2.5,0.47,2.61,0.52,1.52,0.24,1.62,0.23,3.18,0.5
55.64,11.94,7.74,0.11,4.43,4.79,1.29,2.11,1,0.29,258,23,14,119,9,22,61,25,79,152,32,283,16,142,44,85,1.7972,1.6216,2.7417,41.3309,79.1342,9.4822,38.7515,7.9614,1.7976,7.4908,1.341,8.0396,1.5061,4.5516,0.6497,4.519,0.6735,9.5853,1
56.48,13.08,6.92,0.1,3.51,5.82,1.11,1.96,0.85,0.18,335,22,17,91,9,22,64,24,106,221,30,257,19,148,41,77,2.262,2.131,4.638,46.22,88.97,10.07,40.8,7.78,1.507,7.068,1.164,6.273,1.162,3.448,0.54,3.416,0.456,7.868,2
59.46,14.24,7.18,0.09,3.18,3.42,1.72,1.9,0.91,0.15,330,24,14,102,17,22,57,21,105,152,42,301,27,156,66,70,2.499,2.318,4.633,90.31,164.4,18.66,70.7,13.32,1.846,11.73,1.885,9.451,1.701,5.217,0.709,4.833,0.637,10.99,1
59.01,13.37,7.99,0.1,3.65,3.63,1.52,1.92,0.94,0.13,316,19,16,115,8,27,77,30,107,135,30,236,24,196,49,79,2.215,2.825,3.52,42.5,80.32,9.302,37.64,7.188,1.596,6.772,1.182,6.696,1.228,3.821,0.58,3.514,0.45,6.915,1
62.83,11.93,6.15,0.1,3.31,4.28,2.01,1.56,0.87,0.1,374,13,12,87,14,23,81,20,72,178,36,420,20,241,29,69,2.138,1.982,3.034,40.97,75.21,9.124,37.46,7.735,1.637,6.844,1.311,7.565,1.43,4.373,0.682,4.436,0.689,13.06,1
59.42,10.96,5.76,0.09,3.41,5.97,1.59,1.81,0.81,0.11,417,15,12,83,8,26,53,16,82,268,27,270,13,127,30,71,1.96,1.925,2.698,35.23,68.56,7.887,32.6,6.41,1.32,5.604,1.024,5.927,1.121,3.694,0.55,3.363,0.483,8.705,3
