Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Hf 
295,21,19,122,14,19,66,26,80,135,53,518,26,134,43,73,1.7667,1.3212,62.4562,111.0528,13.4219,54.0458,10.7218,2.2376,9.4832,1.8617,11.6736,2.1897,6.8168,1.0891,7.1498,1.0728,18.991,18.991
360,36,18,138,14,20,69,29,126,118,34,271,20,163,61,108,2.5723,1.5082,57.1162,105.7589,12.0893,48.993,9.396,1.8634,8.498,1.5272,8.0485,1.4254,4.6116,0.6975,4.0536,0.5739,10.8379,10.8379
261,30,16,90,16,28,49,19,122,169,40,438,16,113,40,85,2.3172,1.8255,65.5181,116.3482,14.0304,54.3228,10.1564,1.8187,8.8628,1.5673,8.4325,1.5858,4.7687,0.7728,5.1234,0.7739,15.8405,15.8405
536,30,17,95,11,25,56,21,117,115,31,213,15,111,47,89,2.0114,1.4523,42.0252,76.5126,9.0452,34.4829,6.7705,1.5031,5.9054,1.1036,6.0097,1.1538,3.4874,0.5401,3.4439,0.5348,8.6601,8.6601
315,28,14,101,12,25,46,20,128,213,40,375,19,101,29,79,2.2017,1.4531,53.0654,94.2837,11.6389,45.8274,9.0519,1.8459,7.4514,1.5342,8.8692,1.75,5.3889,0.8514,5.5409,0.8465,13.7167,13.7167
330,21,18,116,19,24,75,24,126,160,36,304,18,128,50,76,2.66,1.49,43.77,82.4,9.85,39.54,7.93,1.52,6.86,1.26,6.9,1.31,3.93,0.59,3.88,0.58,10.66,10.66
248,16,15,72,24,32,44,20,131,113,43,402,16,90,36,63,4.21,1.66,96.07,170.77,20.37,77.32,13.83,1.83,10.51,1.85,9.56,1.63,4.59,0.69,4.46,0.67,12.48,12.48
278,25,14,83,21,28,52,32,136,113,43,390,15,117,47,73,3.98,1.62,93.95,170.22,20.31,77.83,14.27,1.76,10.65,1.9,10.67,1.96,5.83,0.88,5.47,0.79,11.34,11.34
291,20,16,80,26,29,51,19,149,107,39,370,18,93,46,83,3.86,1.77,106.26,191.76,22.86,88.39,15.93,1.96,11.6,1.9,9.56,1.57,4.38,0.63,4.06,0.62,12.05,12.05
328,10,14,96,15,31,47,16,109,120,36,291,14,98,36,71,3.3,2.04,55.89,103.5,12.2,48.11,9.21,1.64,7.65,1.33,7.29,1.35,4.08,0.59,3.97,0.6,10.21,10.21
302,19,15,107,16,26,44,15,108,119,39,298,14,102,26,61,3.49,2.18,60.96,113.92,13.43,53.17,10.13,1.73,8.8,1.54,8.5,1.6,4.94,0.76,4.91,0.76,10.37,10.37
337,28,15,104,24,34,48,17,125,182,75,1078,37,88,48,69,3.22,1.41,88.6,162.82,19.45,75.04,14.47,2.92,13.02,2.43,14.27,2.84,9.08,1.45,9.7,1.55,36.99,36.99
428,16,15,85,13,27,43,14,129,129,34,227,16,83,32,80,2.99,1.41,38.58,75.66,8.55,33.87,6.65,1.25,6.03,1.09,5.79,1.07,3.3,0.51,3.34,0.5,7.97,7.97
264,19,16,107,12,24,74,20,102,144,40,405,20,172,48,83,2.28,1.27,35,65.27,7.99,32.99,6.9,1.56,6.3,1.21,7.13,1.41,4.43,0.7,4.46,0.7,12.5,12.5
280,22,17,98,10,23,53,20,89,130,30,214,13,114,40,94,1.4963,1.2278,33.1036,60.1253,7.1022,29.3899,5.4647,1.1922,5.1847,0.982,5.7874,1.0582,3.5731,0.4934,3.2301,0.4458,8.1388,8.1388
265,32,14,106,24,22,52,19,128,119,46,397,18,120,43,84,2.79,2,161.52,284.26,32.76,129.26,22.28,2.77,19.76,3.08,13.61,2.2,6.18,0.87,5.81,0.84,15.74,15.74
376,31,14,90,26,21,45,21,92,159,66,641,30,109,26,74,2.51,1.5955,124.0242,226.9187,26.6259,107.6749,19.5772,3.1784,16.6278,2.9474,15.6439,2.8285,9.7247,1.3408,8.6733,1.2386,23.3547,23.3547
332,20,17,77,25,28,48,14,154,112,46,315,19,49,28,71,4.13,1.68,58.96,118.16,13.28,52.56,10.51,1.48,9.4,1.83,10.9,2.14,6.58,0.98,6.45,0.98,11.68,11.68
351,24,16,104,22,30,53,22,165,162,36,281,15,122,58,132,3.038,2.0446,100.8816,163.0449,21.7094,84.3416,14.8695,2.0528,12.2591,1.8783,8.7661,1.4189,4.048,0.5614,3.6384,0.5317,8.9554,8.9554
332,24,15,119,17,27,55,22,121,134,39,291,17,157,37,77,2.5273,1.8608,55.1807,86.9607,12.2058,49.1482,9.3602,1.8258,8.3815,1.5285,8.7815,1.6814,4.906,0.7326,4.7275,0.7068,10.5039,10.5039
343,21,14,101,15,24,60,21,102,160,41,289,16,170,28,87,2.688,2.215,65.58,121.7,14.62,58.54,11.01,1.874,9.647,1.717,8.966,1.692,5.052,0.772,4.728,0.607,9.143,9.143
300,17,15,99,7,22,82,26,64,145,55,542,24,225,28,74,1.955,2.234,61.97,122.9,14.58,61.01,11.79,2.263,11.08,2.125,12.29,2.431,7.595,1.232,7.866,1.14,19.43,19.43
403,17,12,87,9,26,64,27,78,161,45,509,19,159,35,79,2.002,2.03,36.41,75.66,8.873,37.41,8.067,1.765,7.634,1.502,9.312,1.86,6,1.012,6.125,0.918,16.15,16.15
327,32,16,127,6,19,79,25,63,154,47,437,27,188,46,87,1.6879,1.2596,35.8229,73.7635,8.9868,38.4304,8.9611,2.1147,7.8167,1.6367,10.6144,2.0458,6.9231,1.0446,6.4049,0.9564,19.9226,19.9226
329,31,16,112,20,23,64,18,105,158,43,449,20,156,50,88,2.33,1.27,41.82,76.97,9.34,37.92,8.16,1.71,7.45,1.45,8.55,1.7,5.27,0.85,5.44,0.86,14.34,14.34
231,20,16,81,10,21,53,20,93,246,30,208,13,100,34,82,1.5929,1.2882,30.7232,55.8544,6.8314,27.8845,5.6169,1.2819,5.2878,0.9461,6.1522,1.0938,3.2124,0.4922,3.2091,0.4694,6.1138,6.1138
352,23,16,117,11,24,65,25,114,163,40,369,18,138,48,86,2.3446,1.6916,56.4797,102.1029,12.1253,49.5455,9.5958,1.8043,7.9071,1.5022,8.5044,1.5368,5.1123,0.6881,4.7419,0.6462,16.5373,16.5373
388,23,13,97,17,22,38,15,91,163,41,380,17,103,26,67,2.0014,1.5628,52.4478,84.8387,11.6833,47.1814,9.2296,1.6929,7.9182,1.4043,7.8509,1.4683,4.4773,0.6762,4.4617,0.6702,11.8451,11.8451
276,22,16,117,22,28,54,20,144,109,33,281,14,119,39,88,2.6945,1.7328,61.4033,93.1278,13.3658,52.5992,9.7058,1.7506,8.1396,1.3785,7.3544,1.2969,3.8654,0.5565,3.5791,0.5323,8.7601,8.7601
299,26,14,96,28,20,44,23,149,113,43,296,15,112,36,89,2.8596,2.1172,121.0762,194.5807,26.4397,102.5307,18.0264,2.4298,14.8274,2.2936,10.516,1.6695,4.6631,0.625,4.051,0.591,9.486,9.486
391,21,14,83,14,23,53,19,132,130,34,274,16,131,34,77,2.774,2.453,57.14,105.9,12.15,48.48,9.265,1.607,8.019,1.388,6.916,1.306,3.853,0.575,3.641,0.507,8.559,8.559
224,17,14,104,8,23,77,21,59,156,44,359,18,214,24,71,2.056,2.313,43.65,85.52,10.07,42.39,8.558,1.832,8.408,1.607,9.673,1.958,6.47,1.029,6.465,0.83,12.96,12.96
389,17,14,98,9,22,87,25,93,156,36,268,17,220,46,81,2.063,2.168,40.11,78.03,9.304,38.77,7.577,1.62,7.049,1.306,7.627,1.42,4.538,0.692,4.465,0.607,9.407,9.407
367,20,12,93,19,26,56,18,104,214,33,236,14,136,41,71,2.3759,1.1854,32.0834,59.7436,7.2574,29.3865,5.8115,1.3442,5.187,0.9813,5.6704,1.0768,3.2788,0.5053,3.3696,0.4928,7.3378,7.3378
310,30,16,128,7,16,80,24,76,147,36,391,15,182,49,84,1.9352,1.7413,40.4358,74.3292,9.0419,36.7629,7.4731,1.89,6.4935,1.3424,7.0189,1.335,4.3199,0.717,4.5097,0.6158,14.074,14.074
405,15,15,107,10,26,73,21,101,149,38,304,21,146,45,76,1.88,1.26,41.56,76.81,9.14,38.24,7.48,1.55,7.18,1.32,7.25,1.43,4.66,0.69,4.3,0.62,9.87,9.87
380,19,18,151,8,24,65,24,80,131,32,269,13,135,62,134,1.35,1.45,28.13,50.53,6.44,27.56,5.8,1.54,5.48,1.05,6.28,1.15,3.62,0.6,3.62,0.53,8.79,8.79
336,14,14,100,14,29,39,18,77,170,35,338,13,97,30,67,1.5,1.26,20.65,43.22,4.63,19.16,4.1,1.18,4.17,0.88,5.43,1.08,3.59,0.62,4.12,0.6,12.33,12.33
426,30,13,110,15,22,49,23,115,152,42,399,26,126,42,90,2.0774,1.5359,65.5631,120.1762,14.2518,55.3351,11.2877,2.1996,9.8456,1.6461,9.1341,1.7638,5.0053,0.6997,5.0414,0.7735,12.8301,12.8301
420,24,14,105,11,20,53,23,122,151,43,336,31,136,35,77,2.2335,1.4505,46.8393,79.2526,10.1159,41.7595,8.9331,1.987,7.8634,1.6803,9.5886,1.6954,5.6326,0.9199,5.6747,0.7624,13.1336,13.1336
414,23,12,108,16,24,46,17,118,170,33,309,22,121,32,76,2.4204,1.5443,47.8401,83.2409,10.5565,42.6429,8.1498,1.6206,7.0577,1.2053,6.5034,1.195,3.577,0.5358,3.4077,0.5136,10.2875,10.2875
