X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
394781.07,2702478.52,1,153.0,20.558758,7.602631,210.36234,181.71184,121.69603,233.38968,0.0,236.78572,185.53952,89.58905,126.12383,90.48989,35.821888,95.942696,111.2741,79.30229
394858.53,2702479.17,1,153.0,21.027838,9.6166525,210.36234,176.6267,119.211845,233.38968,0.0,236.78572,185.51253,89.57845,125.43548,89.95148,35.786556,95.64167,111.17026,79.41699
396178.51,2701376.12,1,238.0,56.331337,67.05849,211.0798,163.52461,126.53848,233.44055,248.95258,241.33928,195.84409,91.132965,131.97989,91.66117,40.761154,95.34658,122.1807,73.88802
396236.5,2701333.24,1,153.0,56.61919,68.84476,211.71658,153.21266,114.67647,232.48611,248.95258,241.33928,196.16397,91.17074,132.06667,91.612274,40.838287,95.34715,122.376785,73.7423
395281.57,2702069.66,1,153.0,33.540016,28.849955,201.40483,173.66196,128.11745,234.41321,255.0,250.44643,186.99445,89.84028,126.17069,90.43758,37.32968,94.9422,114.15131,78.59417
394667.23,2702544.28,1,153.0,17.85,3.4,206.53342,188.73993,130.50732,236.4984,246.93675,232.23215,185.5083,89.56067,126.142586,90.32778,35.397892,96.27537,110.6178,79.25552
395480.24,2701782.11,1,153.0,42.055676,40.94142,198.24403,177.05875,113.82378,233.4507,228.79446,245.89285,189.38966,90.19483,128.32953,91.39194,38.628914,95.112724,117.1002,77.04895
395525.86,2701744.55,1,187.0,42.74579,40.94142,198.24403,177.05875,113.82378,233.4507,228.79446,245.89285,190.18028,90.30297,128.31023,90.91747,38.720413,94.9941,117.35268,76.799805
392513.23,2702196.39,1,153.0,15.5110445,33.658283,204.91351,184.0716,127.20487,237.63045,0.0,255.0,190.94048,100.45651,134.00372,93.524185,38.93717,100.9066,121.71349,83.84293
401003.95,2708999.96,1,221.0,102.66719,100.45835,213.02263,179.9537,101.57634,232.88849,160.25693,209.46428,175.17268,88.84258,118.76597,95.91942,39.874516,96.6176,122.86218,68.69129
