BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
204.0,227.65088,10.2,201.09752,169.7955,92.13513,235.14468,78.15405,184.57933,137.05066,85.36946,130.4364,64.33384,23.395708,72.99629,99.31223,1
204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,78.025444,184.57933,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,78.025444,184.57933,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
204.0,225.32535,6.8,203.18367,172.13329,100.66367,236.87296,78.025444,184.29114,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
204.0,225.32535,6.8,203.18367,172.13329,100.66367,236.87296,78.025444,184.29114,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,78.025444,184.57933,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
204.0,227.865,10.2,201.2584,169.7955,92.13513,234.91711,78.15405,184.28601,137.05066,85.36946,130.4364,64.33384,23.395708,72.99629,99.31223,1
204.0,225.57054,7.602631,203.18367,172.13329,100.66367,236.87296,77.92013,184.29114,136.25966,85.09102,128.65598,64.15007,23.31917,72.45723,98.82121,1
187.0,222.2161,3.4,201.82494,168.47926,97.83146,235.21675,78.53505,185.5401,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,1
187.0,222.2161,3.4,201.82494,168.47926,97.83146,235.21675,78.53505,185.5401,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,1
187.0,222.2161,3.4,201.18918,168.47926,97.83146,233.88643,78.437614,185.5401,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,1
34.0,232.94499,13.6,200.59753,169.40514,89.06825,236.70364,77.91948,183.68658,138.02087,85.625694,130.79654,64.66748,23.447166,73.669235,100.004585,1
204.0,225.12326,6.8,200.47923,154.6871,98.060875,235.41885,77.45057,182.91345,136.82396,84.4298,117.532074,64.71027,23.008844,72.62431,99.42029,1
153.0,176.11623,68.423676,200.6361,167.18893,118.63451,234.99658,75.1103,151.91069,154.60257,80.36693,105.11518,69.292046,39.34428,83.17921,127.65777,1
153.0,174.68896,66.97224,200.6361,172.43454,123.07181,234.99658,75.1103,151.65694,154.53836,80.41008,105.14264,69.32847,39.33641,83.26648,127.45056,1
153.0,183.88312,54.823353,206.6238,177.74121,140.06499,232.57855,74.53066,152.31651,155.29501,80.6266,105.686386,70.841644,39.439552,83.72667,127.45257,1
153.0,183.88312,53.218422,207.61555,183.75206,139.9386,233.58069,74.36942,152.21446,155.50307,80.85653,105.90159,71.33006,39.46578,84.073166,127.187744,1
153.0,178.95477,60.82105,205.426,176.12605,135.93013,233.27861,74.69114,152.17282,154.80779,80.36116,105.329216,69.958084,39.371017,83.315025,127.54075,1
153.0,162.72118,80.60223,199.75424,183.02455,127.07976,229.54971,74.77485,152.89787,155.12291,81.98948,105.89514,68.83531,39.390152,84.41344,127.02309,1
153.0,161.27615,83.628944,200.79121,183.02455,127.07976,232.90138,74.77485,152.63629,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,1
153.0,161.27615,83.628944,201.94765,176.1524,126.412,232.68195,74.77485,152.63629,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,1
153.0,161.27615,83.628944,200.79121,183.02455,127.07976,232.90138,74.77485,152.63629,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,1
153.0,162.72118,80.60223,199.75424,183.02455,127.07976,229.54971,74.774506,152.63629,155.12291,81.98948,105.89514,68.83531,39.390152,84.41344,127.02309,1
153.0,174.68896,60.82105,202.05476,176.66716,124.530556,235.37228,74.70002,152.79893,155.18562,80.503456,105.5354,70.35228,39.430645,83.4485,127.783676,1
153.0,176.11623,62.4157,202.05476,174.90471,120.71291,235.37228,74.62379,152.79893,155.29797,80.70902,105.67928,70.33603,39.444942,83.59387,127.74962,1
153.0,178.95477,54.823353,201.44754,173.53864,119.78202,233.84526,74.53334,152.99612,155.75052,80.77947,105.88731,71.43373,39.53759,83.94299,127.728905,1
153.0,161.27615,83.628944,199.75424,183.02455,127.07976,229.54971,74.77485,152.89787,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,1
153.0,162.72118,77.606445,202.26573,178.14067,128.26207,230.79482,74.774506,153.01204,155.11707,81.71047,105.851105,69.012505,39.394463,84.17809,127.21997,1
