BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif,Label
204.0,0.0,180.7125,195.03943,145.5441,117.16502,225.01018,192.50989,255.0,63.777786,97.032585,111.36981,85.11592,33.33436,39.634098,88.2005,45.338863,0
204.0,0.0,122.4,195.063,162.85419,149.0016,234.39665,144.13045,191.25,74.036644,102.61846,100.371155,74.22404,43.470028,51.752293,113.99488,32.497257,0
85.0,27.106874,88.66115,202.6772,153.7073,99.16488,226.94563,252.98419,163.92857,30.26863,78.61833,108.43143,77.02563,32.13563,44.768787,149.92285,35.14855,0
187.0,246.45456,19.233305,196.5387,128.63936,97.97497,233.30127,192.50989,163.92857,73.84531,88.0055,81.12305,57.67104,20.56007,48.673508,121.21311,36.11116,0
85.0,107.22136,83.628944,191.05377,149.82153,123.15659,226.54948,242.90514,195.80357,50.42599,92.54226,103.506836,64.29847,23.01222,22.480568,96.921234,36.81937,0
238.0,2.55,14.424977,199.96771,151.8488,108.279396,226.55524,160.25693,36.42857,26.446592,59.358448,82.2238,45.10029,45.389328,23.82014,99.717735,20.428366,0
204.0,14.868926,27.411676,196.89195,132.00943,121.93919,230.78815,232.8261,200.35715,53.44745,89.23013,73.98204,58.219658,24.601923,39.106354,149.16838,32.066727,0
85.0,5.7019734,34.0,204.88121,128.26456,122.096245,236.98518,196.5415,191.25,26.313871,74.09883,91.29923,59.879326,28.984976,32.502995,116.210526,25.409437,0
153.0,207.10019,165.80013,196.73952,122.85227,114.45733,231.87047,212.66798,173.03572,48.80511,99.02533,116.33338,86.41908,30.071753,56.57585,109.19348,33.75193,0
85.0,0.0,21.503489,205.6729,145.47575,84.772575,234.8134,0.0,218.57143,24.927065,85.92706,137.58942,112.349014,39.620163,48.269814,122.81951,50.797157,0
136.0,13.73217,38.765965,207.8053,148.45564,128.8517,227.8532,236.85771,195.80357,21.095917,78.06582,81.86835,50.304222,24.696068,35.340767,120.30882,33.459324,0
136.0,50.808388,233.24098,220.8611,144.4309,136.03824,231.11728,0.0,232.23215,12.45091,152.37714,100.763275,72.95161,67.228035,17.839064,103.078735,32.194187,0
153.0,106.12413,94.71304,196.79468,147.62755,111.48066,221.04527,212.66798,182.14285,29.290064,75.16964,81.70219,68.61599,56.605553,51.919426,128.07642,21.650179,0
204.0,91.30282,0.0,195.98872,143.9826,115.989105,229.49458,196.5415,232.23215,105.45804,88.88562,114.26596,67.137215,29.305553,28.378618,80.97098,34.47139,0
204.0,0.0,3.4,198.72823,151.91478,125.532,233.22682,180.41502,209.46428,46.384716,97.938805,104.518326,81.47632,36.714367,29.315517,115.115166,31.25851,0
136.0,53.245564,48.083263,194.52371,140.89026,87.77849,231.28458,226.77866,91.07143,31.03638,71.15686,107.8078,60.768227,28.039614,37.137302,114.08557,24.424768,0
136.0,230.03769,83.9738,196.84972,132.85262,105.86985,230.28027,248.95258,195.80357,12.109276,69.53514,91.06456,54.121284,22.429792,19.647226,111.001625,36.715424,0
187.0,0.0,12.258874,206.4763,154.00807,111.854324,234.79329,238.87352,236.78572,44.520683,94.12516,128.70236,95.46321,34.044983,31.981878,120.28653,45.707863,0
153.0,36.062447,30.410524,197.72314,135.00194,78.232025,235.8822,176.3834,36.42857,29.170193,89.29814,128.91702,79.17618,37.545044,36.57026,110.58046,28.234936,0
204.0,52.569595,38.46661,211.88751,178.81271,129.98158,232.8772,196.5415,255.0,44.96513,101.035645,130.76822,112.200806,47.84764,35.53785,105.83764,38.4324,0
136.0,0.0,153.0,212.17552,148.79562,84.37411,234.05516,244.92094,154.82143,9.246288,65.51183,88.82597,53.083344,20.079523,16.299948,129.02744,35.40982,0
153.0,28.509865,17.0,195.49995,125.81569,134.90028,233.84909,192.50989,127.5,40.023853,85.00313,117.36869,72.73698,32.03783,31.09037,105.164894,24.022371,0
153.0,75.73113,50.200397,210.7264,137.83633,106.38937,232.17735,226.77866,91.07143,39.086933,98.03048,150.10855,114.80388,29.872536,45.409874,105.4329,68.88538,0
204.0,94.86549,0.0,191.82603,132.01228,127.23359,226.30902,252.98419,195.80357,89.02483,86.02377,122.77168,59.91283,34.071636,46.79158,87.8299,31.20777,0
204.0,67.37021,58.693096,198.6657,158.30328,82.87707,234.75989,252.98419,81.96429,70.54823,93.516975,114.60767,69.34684,38.204712,30.43547,102.9094,33.60327,0
238.0,0.0,95.44255,203.22404,148.53864,89.48113,229.57648,248.95258,241.33928,30.962809,83.01255,106.68031,72.42668,29.429037,41.544502,128.46875,36.513172,0
85.0,110.712296,10.2,198.59132,110.93022,112.82293,233.65952,240.88933,214.01785,47.082058,67.58358,101.17494,55.76819,31.532446,48.53831,114.89356,26.11013,0
85.0,183.19226,182.62148,187.5224,111.226875,75.601814,234.88841,246.93675,236.78572,11.940719,78.22139,82.09167,47.71076,18.405123,37.134224,172.76259,30.399868,0
153.0,141.05904,155.99295,199.92345,158.42336,116.298836,227.2805,204.60475,191.25,26.950037,64.20394,78.90318,56.41711,34.73195,69.904045,132.80714,24.133947,0
153.0,55.164936,124.69242,201.55426,126.777664,108.70945,232.45009,240.88933,0.0,55.08364,92.60847,113.969894,51.465683,14.941626,26.943014,92.77795,32.82448,0
85.0,75.73113,108.64051,201.208,99.33798,73.48087,233.52412,212.66798,218.57143,43.48818,78.230064,87.715576,46.910458,20.98292,33.837006,159.39166,30.991535,0
238.0,203.69696,87.413734,211.96872,124.04864,95.99006,233.3388,240.88933,245.89285,11.407555,77.21667,94.61782,57.232544,25.521557,19.792212,116.0089,35.86325,0
153.0,0.0,39.65047,188.1757,138.66187,137.42993,234.95435,168.32016,109.28571,37.98658,92.37059,119.19307,73.08203,42.585354,56.30003,112.18485,24.806993,0
187.0,86.84987,125.38581,198.04097,150.62447,97.988335,229.0849,226.77866,241.33928,63.598087,106.49563,125.25823,96.888794,48.61803,40.337624,109.44047,35.73562,0
136.0,168.55095,18.30956,210.45587,158.65536,88.81526,231.49864,224.76285,204.91072,10.559334,78.71184,102.93416,60.88438,25.477888,19.294746,115.370804,33.358547,0
153.0,84.18863,227.90147,199.42465,149.52705,84.642876,233.11703,192.50989,118.39286,47.108597,89.687675,109.383705,63.385864,39.114983,48.74838,95.95156,30.998224,0
153.0,89.39559,57.899914,198.64217,166.80763,131.9994,233.82451,184.44664,195.80357,49.96203,105.1914,148.51433,101.172066,47.005707,52.61945,111.63011,41.22936,0
34.0,164.23268,40.94142,201.42587,158.02519,105.057846,229.28894,180.41502,236.78572,47.703297,83.91311,78.65071,79.81437,23.118612,54.3536,167.58893,48.4764,0
204.0,59.530354,80.81707,202.90826,162.86247,127.21862,230.21738,242.90514,218.57143,36.21299,89.96696,82.108345,65.77426,24.006205,32.85166,154.44583,32.26635,0
85.0,21.637466,209.176,193.44162,99.15855,78.48051,231.95007,230.81027,227.67857,33.74524,81.544044,107.7053,74.486404,30.388002,42.260227,139.4795,36.59784,0
85.0,2.55,36.61912,192.48512,105.68635,91.58301,231.32007,232.8261,241.33928,16.868404,68.74054,77.13104,44.92565,15.952705,41.377857,164.50726,36.165512,0
204.0,221.73274,12.258874,200.79047,169.65778,113.71479,229.61295,0.0,236.78572,29.589415,92.616936,129.31161,95.51145,40.222767,34.171555,133.60944,39.932888,0
153.0,0.0,44.330574,214.64037,152.83527,93.58534,234.48492,255.0,145.71428,33.188423,71.62695,131.27357,99.76037,27.75827,63.415375,135.04791,42.63085,0
153.0,71.85391,0.0,204.11604,179.183,113.08523,232.99648,234.8419,191.25,41.0957,73.67926,121.81113,75.91428,33.07173,72.57078,109.93043,32.4444,0
34.0,172.83658,36.61912,197.34633,172.02989,118.31243,232.6116,240.88933,200.35715,53.385334,88.87174,97.237015,68.39067,21.614246,68.63795,142.94933,48.295933,0
204.0,86.84987,0.0,194.1605,166.94557,135.99886,225.62552,196.5415,214.01785,94.52475,91.42094,115.87149,70.137825,29.751518,29.314606,83.29773,35.6134,0
153.0,215.84813,132.77425,193.82101,153.30104,101.83241,229.51973,144.13045,154.82143,57.96454,84.04058,121.14375,68.00879,35.336956,50.242756,103.65444,30.865433,0
153.0,14.424978,50.544636,207.05798,159.37561,83.116486,232.86649,240.88933,236.78572,26.694523,71.469734,90.77857,61.19751,33.215607,65.42469,133.83809,26.894545,0
153.0,21.637466,0.0,198.81467,193.14648,136.82188,235.88315,200.57312,250.44643,62.800365,100.42002,119.83942,94.52397,41.361526,69.60778,107.5947,38.335133,0
187.0,125.02803,70.0928,192.31718,138.18318,88.76965,234.285,226.77866,214.01785,71.71723,89.0221,98.182106,62.73249,28.447622,41.697983,117.01518,35.181293,0
85.0,69.3675,137.52148,199.11768,131.69151,112.428345,230.87057,238.87352,195.80357,63.468018,88.835365,100.44591,60.5642,20.595055,22.544254,88.941376,38.131477,0
153.0,87.22342,0.0,194.92747,172.34843,118.24804,234.65465,144.13045,232.23215,62.676434,91.156044,104.624374,72.28688,36.433174,44.204266,119.118095,34.82039,0
187.0,198.9817,21.503489,211.50421,138.65492,58.67681,238.74074,252.98419,236.78572,32.859425,96.63491,147.78079,104.64114,41.618954,37.468765,132.1875,42.370483,0
153.0,21.93593,58.693096,208.30165,161.74387,87.26186,230.04492,216.6996,91.07143,20.36768,59.56387,84.34352,60.389786,30.052277,47.677933,140.43805,21.016968,0
153.0,59.475704,83.9738,205.04709,172.24641,134.66835,231.58037,224.76285,236.78572,37.728798,94.12683,121.28443,83.492744,41.560013,48.69421,101.02384,29.258373,0
